Ticker,Num Trades,Avg % Profit,Total % Profit
NWSA,4,4.657050000000001,18.628200000000003
BF-B,4,4.623575000000001,18.494300000000003
CRM,4,4.5171,18.0684
KKR,3,6.0169999999999995,18.051
CTAS,4,4.481625,17.9265
ETN,4,4.47025,17.881
PKG,3,5.947766666666666,17.8433
BAC,5,3.5566999999999993,17.783499999999997
NSC,4,4.3611,17.4444
SHW,5,3.4884,17.442
WAB,4,4.338775,17.3551
GWW,5,3.4697199999999997,17.348599999999998
A,3,5.772166666666666,17.316499999999998
ISRG,5,3.4590999999999994,17.295499999999997
SNPS,4,4.322175,17.2887
HD,4,4.31945,17.2778
EG,4,4.316350000000001,17.265400000000003
INTU,4,4.3089,17.2356
PCAR,4,4.3027,17.2108
ABT,4,4.23295,16.9318
FDS,5,3.34382,16.7191
COST,5,3.3335,16.6675
MA,4,4.151975,16.6079
IP,5,3.2805799999999996,16.4029
JCI,6,2.71335,16.2801
RSG,3,5.394500000000001,16.183500000000002
EPAM,3,5.349166666666666,16.0475
DOV,6,2.6678666666666664,16.007199999999997
IT,4,3.9969,15.9876
HWM,5,3.1669000000000005,15.834500000000002
GL,5,3.0538000000000003,15.269000000000002
ITW,4,3.804275,15.2171
VMC,5,3.02058,15.1029
MPC,4,3.727,14.908
DTE,4,3.722875,14.8915
MS,2,7.42515,14.8503
EQIX,4,3.680775,14.7231
F,4,3.67415,14.6966
TKO,3,4.8938999999999995,14.6817
WY,6,2.44155,14.6493
TSCO,4,3.6596499999999996,14.638599999999999
AMZN,3,4.816366666666666,14.4491
GEN,5,2.8435200000000003,14.217600000000001
MKTX,4,3.54255,14.1702
OTIS,4,3.5283500000000005,14.113400000000002
AXP,5,2.8208200000000003,14.104100000000003
CNP,3,4.699866666666667,14.0996
KEY,5,2.8193600000000005,14.096800000000002
BG,5,2.8131,14.0655
APTV,4,3.4993749999999997,13.997499999999999
BDX,4,3.491125,13.9645
TECH,4,3.486375,13.9455
AJG,2,6.96985,13.9397
TSLA,3,4.6429,13.928700000000001
LH,5,2.7707800000000002,13.853900000000001
PFG,5,2.7467799999999998,13.733899999999998
AAPL,3,4.5371999999999995,13.6116
PH,4,3.3966000000000003,13.586400000000001
PCG,4,3.34435,13.3774
ABBV,3,4.416799999999999,13.250399999999999
GIS,7,1.878985714285714,13.152899999999999
VRSN,4,3.283225,13.1329
SW,1,13.1301,13.1301
MSCI,4,3.27055,13.0822
DIS,3,4.313833333333334,12.941500000000001
PFE,3,4.236633333333333,12.7099
EA,3,4.180533333333333,12.541599999999999
CL,3,4.101533333333333,12.3046
PPG,4,3.04645,12.1858
STZ,3,3.9896999999999996,11.9691
BEN,5,2.3805199999999997,11.9026
OKE,4,2.95725,11.829
COO,3,3.876866666666667,11.630600000000001
MET,5,2.3059199999999995,11.529599999999999
AVGO,4,2.86585,11.4634
KHC,4,2.8593,11.4372
NEM,5,2.27728,11.386400000000002
AOS,4,2.840625,11.3625
STT,5,2.25608,11.2804
JPM,5,2.2416000000000005,11.208000000000002
SWK,5,2.23924,11.196200000000001
KR,5,2.2276199999999995,11.138099999999998
DG,5,2.1854400000000003,10.927200000000001
MKC,5,2.16642,10.8321
AIZ,5,2.16504,10.825199999999999
KMI,3,3.503033333333333,10.5091
IDXX,3,3.4910999999999994,10.473299999999998
NUE,3,3.478666666666667,10.436
KLAC,2,5.144950000000001,10.289900000000001
NWS,4,2.5592750000000004,10.237100000000002
CFG,3,3.3395666666666664,10.018699999999999
CMG,3,3.3151333333333333,9.9454
SWKS,3,3.2482666666666673,9.744800000000001
ORCL,5,1.9327999999999999,9.664
KMX,4,2.394625,9.5785
GNRC,3,3.1778999999999997,9.5337
PLTR,1,9.4854,9.4854
HIG,4,2.352525,9.4101
PG,4,2.352125,9.4085
NVR,6,1.555266666666667,9.331600000000002
TDG,3,3.087166666666667,9.261500000000002
BX,4,2.3141500000000006,9.256600000000002
TXN,3,3.0796666666666668,9.239
EQT,5,1.8254400000000004,9.127200000000002
CAG,5,1.7601200000000001,8.800600000000001
GPC,5,1.7389199999999998,8.6946
IQV,5,1.7243399999999998,8.621699999999999
EFX,4,2.1233750000000002,8.493500000000001
ARE,5,1.6681599999999999,8.3408
GM,4,2.034025,8.1361
FIS,3,2.7063,8.1189
FCX,3,2.706033333333334,8.118100000000002
CLX,3,2.6921999999999997,8.0766
FI,4,2.014525,8.0581
AIG,5,1.6015599999999999,8.0078
CARR,4,1.961525,7.8461
LW,5,1.5549800000000003,7.7749000000000015
ORLY,3,2.5734,7.7202
ADP,4,1.9278499999999998,7.711399999999999
ROP,4,1.8452000000000002,7.380800000000001
ERIE,6,1.2258833333333332,7.3553
FTV,5,1.46724,7.336200000000001
DLR,5,1.45302,7.2651
REGN,2,3.5674,7.1348
MCD,4,1.780825,7.1233
MAA,5,1.42396,7.1198
FTNT,5,1.4068200000000004,7.034100000000002
BR,2,3.5080500000000003,7.016100000000001
HRL,5,1.4023599999999996,7.011799999999998
SMCI,4,1.7059000000000004,6.823600000000002
VRSK,4,1.6599750000000002,6.639900000000001
GRMN,2,3.3166,6.6332
GILD,3,2.1645333333333334,6.493600000000001
LLY,5,1.2620199999999997,6.3100999999999985
DOW,5,1.2042399999999998,6.0211999999999986
MAR,4,1.4906500000000005,5.962600000000002
IRM,6,0.9860333333333334,5.916200000000001
MSFT,4,1.4578,5.8312
MAS,3,1.9023,5.7069
TER,4,1.3501249999999998,5.400499999999999
DE,4,1.336025,5.3441
ES,4,1.32215,5.2886
PAYX,4,1.3183749999999996,5.2734999999999985
UPS,4,1.287375,5.1495
FAST,4,1.2618,5.0472
TROW,4,1.22725,4.909
INVH,5,0.9376800000000001,4.688400000000001
UNP,3,1.5483333333333338,4.645000000000001
TFC,5,0.8286200000000005,4.143100000000002
NVDA,3,1.3506333333333334,4.0519
FSLR,5,0.7739799999999999,3.8698999999999995
HUBB,5,0.7717600000000004,3.8588000000000022
ETR,4,0.9416249999999999,3.7664999999999997
ODFL,2,1.8575499999999998,3.7150999999999996
