Ticker,Buy Date,Buy Price,Pct Below 100MA at Buy (%),Sell Date,Sell Price,Pct Gain (%),Holding Days
GL,2024-04-11,48.60100173950195,59.060111511960066,2024-05-22,84.60942840576172,74.08988575845098,41
EPAM,2024-05-09,181.92999267578125,35.422477224835525,2024-06-20,181.8000030517578,-0.07145035412335389,42
WBA,2024-06-27,11.554981231689451,34.05835607744396,2024-08-07,10.218433380126951,-11.56685437010514,41
LW,2024-07-24,54.73149108886719,35.48077148120169,2024-09-03,60.23851013183594,10.061883813885203,41
EW,2024-07-25,59.70000076293945,33.06416863556029,2024-09-04,68.93000030517578,15.460635551559532,41
DXCM,2024-07-26,64.0,48.62450115169145,2024-09-05,69.05000305175781,7.890629768371582,41
CRWD,2024-08-01,224.22000122070312,31.942611158685725,2024-09-11,253.52999877929688,13.071981713952216,41
INTC,2024-08-02,21.3445987701416,36.57172837578802,2024-09-12,19.36000061035156,-9.297893959788295,41
MRNA,2024-08-05,83.75,31.05347376273926,2024-09-16,69.16999816894531,-17.40895741021455,42
DELL,2024-08-07,86.32069396972656,31.658318500975923,2024-09-17,114.734130859375,32.91613584526242,41
SMCI,2024-08-07,49.27000045776367,41.74014212625177,2024-09-17,43.9379997253418,-10.822002603780554,41
WBA,2024-08-08,10.294265747070312,30.53703870809991,2024-09-18,8.744375228881836,-15.055862712982385,41
ALB,2024-08-12,74.4483413696289,31.410936907297703,2024-09-23,87.29834747314453,17.260298707954515,42
DG,2024-08-29,81.84466552734375,35.66786901601996,2024-10-09,81.27391815185547,-0.697354399105704,41
DLTR,2024-09-04,63.560001373291016,41.28693812822849,2024-10-15,67.7300033569336,6.560732998024892,41
DXCM,2024-09-06,68.61000061035156,35.280544720377506,2024-10-17,69.55000305175781,1.3700662192742012,41
COIN,2024-09-06,147.35000610351562,32.75594891892943,2024-10-16,210.47999572753903,42.843560915548,40
MRNA,2024-09-17,71.98999786376953,36.68100069246592,2024-10-28,54.79999923706055,-23.87831523378918,41
SMCI,2024-09-18,43.6879997253418,39.535669893044506,2024-10-29,49.119998931884766,12.43361847805558,41
WBA,2024-09-20,8.453219413757324,31.040808457899427,2024-10-31,9.181108474731444,8.610791053045482,41
HUM,2024-10-02,243.92486572265625,30.022831798490984,2024-11-12,277.1455078125,13.619210977701544,41
MRNA,2024-10-29,55.220001220703125,39.519627604080306,2024-12-09,45.650001525878906,-17.330676355067208,41
SMCI,2024-10-30,33.06999969482422,45.654273006257945,2024-12-10,40.540000915527344,22.588452644806807,41
EL,2024-11-01,65.61095428466797,30.202637145853135,2024-12-12,80.22041320800781,22.266798406792564,41
ENPH,2024-11-07,71.58999633789062,32.38246604671035,2024-12-18,68.80000305175781,-3.897183166436545,41
MPWR,2024-11-14,572.8305053710938,32.58438199434644,2024-12-26,615.5750732421875,7.461992242086124,42
MRNA,2024-12-10,41.5099983215332,37.96478118684464,2024-12-31,41.58000183105469,0.168642525541058,21
ENPH,2024-12-19,65.80000305175781,30.40799857253954,2024-12-31,68.68000030517578,4.376895318914474,12
