Ticker,Buy Date,Buy Price,Sell Date,Sell Price,Percentage Profit
COP,2020-08-19,33.2909,2020-09-02,30.5453,-8.2472
COP,2020-10-15,29.7225,2020-10-27,25.7193,-13.4687
COP,2020-11-17,33.0203,2020-11-30,33.6238,1.8276
DD,2020-04-15,32.1261,2020-04-28,41.9165,30.4751
DD,2020-07-17,49.5418,2020-09-03,53.0909,7.1638
DD,2020-10-16,54.0593,2020-10-29,52.9538,-2.045
DUK,2020-04-16,70.8717,2020-05-04,66.8584,-5.6628
DUK,2020-06-01,71.5763,2020-06-22,67.5571,-5.6152
DUK,2020-07-28,69.2516,2020-08-25,66.9481,-3.3262
DUK,2020-09-16,70.252,2020-10-23,76.8268,9.3588
MCO,2020-04-09,231.2369,2020-04-22,229.4669,-0.7655
MCO,2020-08-27,280.6901,2020-09-21,269.046,-4.1484
MCO,2020-10-08,280.671,2020-10-22,262.0133,-6.6475
MCO,2020-11-18,261.9172,2020-12-31,279.4163,6.6811
NXPI,2020-04-20,79.453,2020-05-01,87.5174,10.1499
NXPI,2020-10-08,124.3877,2020-11-17,137.8201,10.7988
AAPL,2020-04-16,69.4825,2020-05-12,75.678,8.9166
AAPL,2020-10-13,117.9298,2020-10-26,112.0382,-4.9959
AAPL,2020-11-17,116.4652,2020-12-23,127.7517,9.6909
CRM,2020-04-17,161.2074,2020-04-29,159.0364,-1.3467
CRM,2020-07-31,193.1575,2020-08-26,269.9545,39.7588
CRM,2020-10-12,264.7501,2020-10-23,248.3439,-6.1969
CRM,2020-11-18,254.9262,2020-12-02,218.8622,-14.1468
IRM,2020-01-29,23.9717,2020-03-09,22.3459,-6.7823
IRM,2020-04-21,19.1228,2020-05-05,17.4505,-8.7449
IRM,2020-05-29,19.9435,2020-06-09,23.3267,16.9643
IRM,2020-07-22,21.7788,2020-08-18,23.7587,9.0909
IRM,2020-10-22,22.3618,2020-11-13,20.6149,-7.8119
IRM,2020-12-04,23.583,2020-12-31,24.3377,3.2001
RF,2020-02-14,13.1891,2020-02-26,11.6262,-11.8501
RF,2020-04-20,7.5764,2020-05-01,8.197,8.1915
RF,2020-05-28,9.2689,2020-06-09,10.987,18.536
RF,2020-08-04,8.7341,2020-08-17,9.5259,9.0654
RF,2020-10-08,10.786,2020-10-20,10.7033,-0.7669
RF,2020-12-30,13.304,2020-12-31,13.4627,1.1927
IBM,2020-04-14,93.6072,2020-05-14,89.5341,-4.3512
IBM,2020-05-29,95.6205,2020-06-12,93.3314,-2.3939
IBM,2020-07-22,98.5067,2020-08-28,97.0043,-1.5252
IBM,2020-10-12,98.6641,2020-10-23,89.9696,-8.8122
IBM,2020-11-20,92.0139,2020-12-31,99.0483,7.645
PGR,2020-04-09,72.7094,2020-05-04,68.6032,-5.6475
PGR,2020-06-05,74.048,2020-06-25,72.2663,-2.4062
PGR,2020-07-15,77.7821,2020-09-01,85.0089,9.291
PGR,2020-10-09,90.5459,2020-10-21,84.8528,-6.2875
PGR,2020-12-17,87.3095,2020-12-31,89.6393,2.6685
VLO,2020-04-17,41.2538,2020-04-29,52.8265,28.0525
VLO,2020-07-31,45.5208,2020-09-02,43.5928,-4.2353
VLO,2020-11-12,38.9542,2020-11-24,49.0537,25.9266
BKNG,2020-04-17,1452.4552,2020-05-06,1361.6467,-6.2521
BKNG,2020-05-19,1528.1852,2020-06-04,1720.8229,12.6057
BKNG,2020-07-15,1776.8127,2020-07-28,1660.6953,-6.5352
BKNG,2020-10-19,1632.3248,2020-11-10,1982.3076,21.4408
DELL,2020-02-12,24.8532,2020-02-25,21.5519,-13.2833
DELL,2020-04-07,17.8915,2020-04-30,19.9059,11.2588
DELL,2020-08-31,30.8123,2020-10-29,28.2198,-8.414
DELL,2020-11-23,32.3511,2020-12-31,34.1743,5.6356
O,2020-01-14,55.182,2020-02-24,60.6686,9.9428
O,2020-04-24,37.1385,2020-05-11,40.3589,8.6712
O,2020-05-28,41.6141,2020-06-09,47.1532,13.3106
O,2020-08-04,46.7736,2020-09-28,46.8025,0.0619
O,2020-10-13,46.9824,2020-10-29,44.5827,-5.1078
O,2020-11-16,49.3128,2020-12-01,46.3527,-6.0027
PEG,2020-01-23,51.1658,2020-02-07,47.8177,-6.5436
PEG,2020-04-13,43.199,2020-05-07,39.9879,-7.4332
PEG,2020-06-02,43.709,2020-06-22,41.4632,-5.1381
PEG,2020-07-16,44.6534,2020-08-28,44.0204,-1.4175
PEG,2020-09-29,46.684,2020-10-23,51.8976,11.1679
