Ticker,Buy Date,Buy Price,Sell Date,Sell Price,Percentage Profit
A,2015-02-26,38.727,2015-05-22,38.8591,0.3413
A,2015-08-06,37.7399,2015-08-24,31.2149,-17.2894
A,2015-10-28,34.254,2016-01-22,35.1354,2.5733
AAPL,2015-02-06,26.7687,2015-04-17,28.0021,4.6076
AAPL,2015-04-29,29.0303,2015-06-29,28.0989,-3.2083
AAPL,2015-10-28,26.307,2015-12-21,24.2392,-7.8601
ABBV,2015-04-13,40.4006,2015-08-26,41.135,1.8179
ABBV,2015-11-11,41.3353,2015-12-21,37.215,-9.9678
ABT,2015-02-18,37.8881,2015-04-21,38.6418,1.9891
ABT,2015-04-27,39.7449,2015-08-26,36.2806,-8.7162
ABT,2015-11-04,38.0388,2016-01-05,35.7425,-6.0367
ACGL,2015-05-20,20.6345,2015-09-10,21.9341,6.298
ACGL,2015-10-05,23.6964,2015-11-27,22.9927,-2.9695
ACN,2015-03-02,75.2472,2015-09-02,79.0593,5.066
ACN,2015-10-13,87.0083,2015-12-29,89.2239,2.5464
ADBE,2015-02-18,77.02,2015-04-14,76.02,-1.2984
ADBE,2015-05-18,78.69,2015-09-03,77.6,-1.3852
ADBE,2015-10-05,84.8,2016-01-22,89.55,5.6014
ADI,2015-02-23,47.4309,2015-07-15,50.7198,6.9341
ADI,2015-10-19,49.2346,2015-12-10,46.853,-4.8372
ADM,2015-04-15,35.766,2015-07-02,36.3576,1.6542
ADM,2015-10-26,35.0688,2015-11-18,28.2435,-19.4626
ADP,2015-02-04,69.3952,2015-03-31,68.363,-1.4873
ADP,2015-05-18,69.981,2015-06-15,67.0762,-4.1508
ADP,2015-10-07,66.9641,2015-12-14,68.2507,1.9213
ADSK,2015-02-27,63.05,2015-04-17,61.01,-3.2355
ADSK,2015-04-30,58.9,2015-09-02,46.11,-21.7148
ADSK,2015-10-26,53.24,2016-01-08,56.17,5.5034
AEE,2015-04-27,31.3155,2015-09-17,29.7252,-5.0782
AEE,2015-10-08,31.5222,2015-12-09,32.152,1.9978
AEP,2015-05-06,38.8378,2015-05-26,38.9218,0.2163
AEP,2015-07-24,38.1588,2015-09-11,37.6571,-1.3149
AEP,2015-10-12,40.1374,2015-11-20,40.3537,0.5389
AEP,2015-12-29,41.9667,2016-05-10,47.607,13.4399
AES,2015-03-24,8.7164,2015-06-30,9.0498,3.8257
AES,2015-07-06,9.0704,2015-11-18,6.6676,-26.4902
AFL,2015-02-18,24.3475,2015-05-26,24.6593,1.2808
AFL,2015-08-06,25.2946,2015-09-01,22.7125,-10.2081
AFL,2015-10-21,24.4276,2015-12-22,23.4082,-4.1729
AIG,2015-03-03,42.9241,2015-08-26,46.1284,7.4648
AIG,2015-10-28,49.3356,2015-12-31,49.0347,-0.61
AIZ,2015-05-07,52.4568,2015-09-18,62.1979,18.5697
AIZ,2015-09-28,63.6751,2015-12-30,67.64,6.2268
AJG,2015-02-27,38.7127,2015-07-17,40.1193,3.6336
AJG,2015-10-29,36.6968,2015-12-22,34.1993,-6.8059
AKAM,2015-02-19,70.08,2015-06-22,72.73,3.7814
AKAM,2015-08-06,75.98,2015-09-02,71.35,-6.0937
AKAM,2015-10-27,74.99,2016-04-21,51.36,-31.5109
ALB,2015-04-13,50.6209,2015-06-22,51.0605,0.8684
ALB,2015-10-15,45.2026,2015-12-11,42.1656,-6.7188
ALB,2015-12-17,45.6992,2016-01-28,45.4003,-0.654
ALGN,2015-05-06,59.48,2015-08-13,60.63,1.9334
ALGN,2015-10-21,62.44,2015-12-30,66.41,6.3581
ALL,2015-04-09,57.1798,2015-05-08,54.6166,-4.4826
ALL,2015-07-30,55.2218,2015-08-14,50.7864,-8.032
ALL,2015-10-21,49.6987,2016-01-06,48.438,-2.5367
ALLE,2015-02-13,51.2176,2015-07-02,53.8639,5.1667
ALLE,2015-08-05,56.3657,2015-09-08,53.1428,-5.7179
ALLE,2015-10-28,57.5914,2016-01-07,55.0459,-4.42
AMAT,2015-03-02,21.9431,2015-03-30,20.2186,-7.8589
AMAT,2015-10-28,14.3378,2016-01-19,14.6337,2.0641
AMCR,2015-03-24,6.7884,2015-05-20,6.669,-1.7592
AMCR,2015-06-11,6.669,2015-07-23,6.5873,-1.2253
AMCR,2015-11-03,6.0606,2016-01-06,6.0606,0.0
AMD,2015-02-09,3.03,2015-03-30,2.73,-9.901
AMD,2015-06-24,2.6,2015-07-17,1.87,-28.0769
AMD,2015-10-20,2.0,2016-01-28,2.16,8.0
AME,2015-02-27,49.605,2015-05-07,48.6921,-1.8404
AME,2015-05-15,51.6787,2015-08-04,49.6509,-3.9239
AME,2015-08-19,53.3249,2015-09-09,50.6325,-5.0491
AME,2015-10-22,51.3832,2015-12-18,49.983,-2.725
AMGN,2015-03-10,113.6263,2015-05-21,122.1415,7.494
AMGN,2015-07-29,129.1628,2015-09-03,114.575,-11.2941
AMGN,2015-10-29,123.8128,2016-01-13,113.9935,-7.9308
AMP,2015-02-17,109.8175,2015-04-02,103.894,-5.394
AMP,2015-06-11,104.3626,2015-07-13,100.3579,-3.8373
AMP,2015-10-28,91.5646,2015-12-14,85.4018,-6.7306
AMT,2015-07-07,75.3854,2015-09-08,71.2666,-5.4637
AMT,2015-10-22,76.3892,2015-12-18,76.2248,-0.2152
AMZN,2015-02-06,18.7435,2015-04-14,19.1755,2.3048
AMZN,2015-04-22,19.5955,2015-09-21,27.2165,38.8916
AMZN,2015-09-22,26.9855,2016-01-11,30.624,13.4832
ANET,2015-03-04,4.2975,2015-04-21,4.0931,-4.7557
ANET,2015-06-02,4.355,2015-08-19,4.895,12.3995
ANET,2015-11-17,4.2431,2016-01-22,3.9569,-6.7462
AON,2015-02-18,90.8813,2015-04-13,88.697,-2.4034
AON,2015-05-13,89.6573,2015-07-21,92.7355,3.4333
AON,2015-10-30,84.7148,2016-01-04,82.6288,-2.4623
AOS,2015-08-19,30.0038,2016-01-05,32.0372,6.7773
APA,2015-02-06,53.4194,2015-03-20,46.8266,-12.3415
APA,2015-04-21,55.2034,2015-05-29,47.0248,-14.8153
APA,2015-10-22,35.8454,2015-12-17,35.2849,-1.5635
APD,2015-02-06,108.501,2015-04-13,109.2886,0.7259
APD,2015-08-17,106.3761,2015-09-15,98.7249,-7.1925
APD,2015-10-28,101.6304,2015-12-14,95.112,-6.4139
APH,2015-06-12,12.9762,2015-07-10,12.488,-3.762
APH,2015-10-27,12.2053,2015-12-23,12.1642,-0.3364
APO,2015-01-15,14.4161,2015-03-09,13.8412,-3.9882
APO,2015-05-08,13.8226,2015-07-06,13.8958,0.5299
APO,2015-07-14,13.8266,2015-07-27,12.6366,-8.6066
APO,2015-10-30,11.828,2015-11-16,11.3076,-4.3998
APTV,2015-02-13,61.6046,2015-07-13,63.475,3.0362
APTV,2015-10-06,62.7212,2016-01-08,60.4202,-3.6688
ARE,2015-07-30,66.6241,2015-09-02,60.5057,-9.1834
ARE,2015-10-19,66.9466,2015-12-11,63.5655,-5.0505
ARE,2015-12-18,65.4431,2016-01-11,62.0648,-5.1622
ATO,2015-04-08,43.4724,2015-05-13,41.512,-4.5095
ATO,2015-07-21,42.3788,2015-09-18,43.7694,3.2812
ATO,2015-10-01,46.0822,2016-08-18,60.8754,32.1019
AVB,2015-04-01,124.3375,2015-04-30,119.0047,-4.289
AVB,2015-07-15,120.8455,2015-09-11,116.283,-3.7755
AVB,2015-10-08,127.9475,2015-11-25,130.0972,1.6801
AVB,2015-12-14,126.4276,2016-01-29,125.6822,-0.5896
AVGO,2015-05-29,10.9579,2015-07-20,10.2592,-6.3766
AVGO,2015-09-23,9.5471,2015-10-14,8.6431,-9.4697
AVGO,2015-11-19,9.645,2016-01-25,9.5466,-1.0204
AVY,2015-04-09,44.5453,2015-04-21,42.6679,-4.2146
AVY,2015-05-05,47.5062,2015-07-31,51.5526,8.5176
AVY,2015-08-10,52.6591,2015-08-28,49.0481,-6.8573
AVY,2015-10-26,53.4487,2015-12-30,53.2273,-0.4143
AWK,2015-04-13,44.5383,2015-05-22,44.0013,-1.2059
AWK,2015-07-31,42.8308,2016-08-17,64.0704,49.5897
AXON,2015-04-16,27.01,2015-07-23,32.22,19.2892
AXON,2015-10-13,24.1,2015-10-26,23.22,-3.6515
AXON,2015-10-27,23.98,2015-11-05,20.44,-14.7623
AXP,2015-05-28,68.922,2015-07-09,66.2905,-3.8181
AXP,2015-08-31,65.9704,2015-09-10,65.0102,-1.4556
AXP,2015-10-28,64.5615,2015-11-06,64.7439,0.2825
AZO,2015-02-17,615.55,2015-05-27,682.0,10.7952
AZO,2015-08-03,702.0,2015-12-22,747.0,6.4103
BA,2015-01-14,112.8526,2015-04-17,132.7793,17.6573
BA,2015-07-24,129.1398,2015-08-24,110.2031,-14.6637
BA,2015-10-22,126.5678,2015-12-28,128.4804,1.5111
BAC,2015-03-17,12.9294,2015-03-26,12.3823,-4.2315
BAC,2015-05-07,13.0581,2015-08-26,12.7584,-2.2956
BAC,2015-10-29,13.8924,2016-01-04,13.3551,-3.8676
BALL,2015-02-18,33.5221,2015-04-14,32.725,-2.378
BALL,2015-04-27,33.8083,2015-06-03,32.1825,-4.8088
BALL,2015-10-28,30.5969,2016-01-29,30.2645,-1.0866
BAX,2015-04-14,31.9449,2015-05-26,30.9663,-3.0634
BAX,2015-07-01,32.0092,2015-09-10,30.9968,-3.1629
BAX,2015-11-06,32.0229,2016-01-07,31.6399,-1.1959
BBY,2015-02-26,26.3024,2015-04-20,25.7719,-2.0168
BBY,2015-09-04,25.5869,2015-10-30,24.5061,-4.2241
BDX,2015-07-06,119.2763,2015-09-02,114.5829,-3.9348
BDX,2015-10-29,119.9632,2016-01-15,120.7779,0.6791
BEN,2015-03-05,33.3928,2015-03-27,32.1736,-3.6511
BEN,2015-11-02,25.7848,2015-12-18,22.2311,-13.7821
BF-B,2015-02-06,30.4545,2015-03-23,30.2608,-0.6361
BF-B,2015-04-14,31.1095,2015-09-08,32.7498,5.2725
BF-B,2015-10-19,36.3333,2015-12-07,35.3146,-2.8036
BG,2015-02-11,67.4458,2015-07-10,64.8175,-3.897
BG,2015-10-14,58.1452,2015-11-18,50.1512,-13.7484
BIIB,2015-07-01,408.32,2015-07-27,305.4,-25.2057
BIIB,2015-11-18,280.65,2016-01-22,266.36,-5.0918
BK,2015-03-03,30.4245,2015-07-06,31.8805,4.7854
BK,2015-08-05,34.3904,2015-09-01,30.0606,-12.5901
BK,2015-10-26,32.6631,2015-12-24,32.1471,-1.5798
BKNG,2015-02-26,1233.3433,2015-04-23,1193.8638,-3.201
BKNG,2015-04-27,1219.9036,2015-06-05,1168.4857,-4.2149
BKNG,2015-07-29,1187.9586,2015-12-02,1270.6305,6.9592
BKR,2015-02-05,33.2675,2015-06-03,35.1848,5.7634
BKR,2015-10-14,29.9055,2015-11-06,26.8851,-10.0999
BLDR,2015-03-06,5.9,2015-06-22,13.83,134.4068
BLDR,2015-06-26,13.63,2015-07-28,12.99,-4.6955
BLDR,2015-07-30,14.01,2015-10-08,14.09,0.571
BLDR,2015-12-01,13.62,2015-12-14,11.77,-13.583
BLK,2015-02-13,287.7633,2015-04-20,284.1323,-1.2618
BLK,2015-04-30,282.7965,2015-05-15,287.2206,1.5644
BLK,2015-05-18,285.8,2015-12-24,267.8806,-6.2699
BMY,2015-03-06,47.1385,2015-06-25,47.9761,1.777
BMY,2015-07-08,48.878,2015-08-12,44.8673,-8.2056
BMY,2015-10-13,45.3318,2016-01-19,46.3452,2.2354
BR,2015-06-15,43.2188,2015-09-10,44.0669,1.9623
BR,2015-10-02,45.9338,2015-11-27,46.4659,1.1583
BRK-B,2015-05-20,146.41,2015-06-15,139.72,-4.5694
BRK-B,2015-08-03,143.11,2015-08-27,134.4,-6.0862
BRK-B,2015-10-27,136.4,2015-12-11,130.31,-4.4648
BRO,2015-02-25,14.7931,2015-05-07,14.4657,-2.2136
BRO,2015-06-11,15.076,2015-08-31,14.7736,-2.0057
BRO,2015-11-02,14.7476,2016-01-05,14.509,-1.6174
BSX,2015-01-08,14.3,2015-05-21,17.91,25.2448
BSX,2015-06-08,17.82,2015-06-30,17.99,0.954
BSX,2015-07-16,17.87,2016-01-13,17.89,0.1119
BX,2015-10-28,21.6211,2015-11-23,19.8172,-8.3431
BXP,2015-04-08,92.9431,2015-04-29,91.3208,-1.7455
BXP,2015-10-09,81.8547,2016-01-25,81.3192,-0.6541
C,2015-03-04,40.0779,2015-04-22,39.3585,-1.7951
C,2015-04-28,39.4709,2015-08-27,39.9322,1.1688
C,2015-10-29,40.9531,2015-12-22,39.067,-4.6055
CAG,2015-04-08,20.7303,2015-08-31,23.1562,11.7024
CAG,2015-10-30,22.6853,2016-01-27,22.1213,-2.4863
CAH,2015-06-18,67.1948,2015-07-09,63.4578,-5.5614
CAH,2015-11-06,66.332,2016-01-14,59.2459,-10.6827
CAT,2015-04-24,65.1479,2015-07-02,65.0171,-0.2007
CAT,2015-11-04,59.1372,2015-12-10,51.7902,-12.4237
CB,2015-03-03,92.8096,2015-04-02,90.9771,-1.9745
CB,2015-04-10,91.6658,2015-09-08,83.7498,-8.6358
CB,2015-10-19,90.3105,2016-01-20,91.9028,1.7632
CBOE,2015-05-29,51.0216,2015-12-23,57.8306,13.3452
CBRE,2015-02-23,34.81,2015-06-10,36.68,5.372
CBRE,2015-07-28,37.52,2015-08-25,33.35,-11.1141
CBRE,2015-10-27,34.36,2015-12-28,34.49,0.3784
CCI,2015-01-15,53.1177,2015-03-26,55.1978,3.916
CCI,2015-04-30,55.1454,2015-09-16,51.8582,-5.961
CCI,2015-10-23,58.3446,2016-01-21,53.0068,-9.1489
CCL,2015-03-20,40.1375,2015-05-08,39.1076,-2.5658
CCL,2015-06-03,40.9671,2015-09-02,42.2163,3.0492
CCL,2015-10-05,43.5263,2015-12-09,43.7617,0.5407
CCL,2015-12-31,47.9511,2016-01-29,40.9688,-14.5613
CDNS,2015-03-12,17.81,2015-07-20,19.59,9.9944
