Ticker,Buy Date,Buy Price,Pct Below 100MA at Buy (%),Sell Date,Sell Price,Pct Gain (%),Holding Days,Total Trades,Average Gain (%)
WDC,2023-03-13 00:00:00,26.64725112915039,16.09486893767525,2023-03-31 00:00:00,28.42021369934082,6.65345390260882,18,,
AES,2023-08-16 00:00:00,16.684127807617188,10.282679618576356,2023-09-05 00:00:00,15.805063247680664,-5.26886733350954,20,,
GNRC,2023-10-27 00:00:00,82.19999694824219,13.73965969997466,2023-11-09 00:00:00,102.83999633789062,25.109489240789827,13,,
VLO,2023-04-27 00:00:00,105.97053527832033,11.834036571470572,2023-05-02 00:00:00,102.4024429321289,-3.367060793663263,5,,
DELL,2023-03-13 00:00:00,34.7516975402832,10.834118442352011,2023-03-24 00:00:00,35.521427154541016,2.2149410496150965,11,,
APO,2023-03-16 00:00:00,56.54164123535156,17.801523779750582,2023-03-23 00:00:00,55.53110885620117,-1.7872356675040675,7,,
ALB,2023-08-14 00:00:00,179.59878540039062,16.400266265933013,2023-08-31 00:00:00,192.3470916748047,7.098214080898976,17,,
LYV,2023-03-13 00:00:00,66.97000122070312,12.222171613796293,2023-03-22 00:00:00,66.23999786376953,-1.0900453092838234,9,,
LYB,2023-03-16 00:00:00,74.04808044433594,13.310020806643468,2023-03-28 00:00:00,78.4192123413086,5.903099541194131,12,,
DG,2023-06-12 00:00:00,146.77198791503906,22.2527422396068,2023-06-27 00:00:00,161.45968627929688,10.007153662563994,15,,
HAS,2023-03-15 00:00:00,42.54125213623047,15.384352901372017,2023-03-30 00:00:00,47.05238342285156,10.604133776258001,15,,
GPN,2023-10-04 00:00:00,111.05378723144533,11.444208461588147,2023-10-10 00:00:00,113.29572296142578,2.0187836775958607,6,,
GPN,2023-10-30 00:00:00,102.06644439697266,10.43820718800143,2023-11-03 00:00:00,111.86009979248048,9.595372360985577,4,,
RL,2023-08-23 00:00:00,109.76144409179688,11.949612878343613,2023-09-12 00:00:00,113.34294128417967,3.2629829372393115,20,,
BXP,2023-09-27 00:00:00,52.35146331787109,13.319461299664844,2023-10-03 00:00:00,49.24057388305664,-5.9423161028480544,6,,
BXP,2023-10-04 00:00:00,49.67465972900391,14.970536260309682,2023-10-19 00:00:00,49.33101272583008,-0.6917953843037349,15,,
NWSA,2023-03-14 00:00:00,15.656454086303713,13.787502135431323,2023-03-30 00:00:00,16.699560165405273,6.662466950381002,16,,
PRU,2023-03-16 00:00:00,73.55193328857422,15.248557228249137,2023-03-17 00:00:00,69.82018280029297,-5.073626649132486,1,,
CPAY,2023-10-30 00:00:00,222.55999755859372,12.631214053991723,2023-11-30 00:00:00,240.5,8.060748848940468,31,,
BEN,2023-03-10 00:00:00,24.15923309326172,12.883499307823826,2023-03-17 00:00:00,23.02005958557129,-4.715271810545004,7,,
ZBH,2023-08-08 00:00:00,122.69895935058594,11.589938321418732,2023-08-17 00:00:00,117.37277221679688,-4.340857625834158,9,,
NOC,2023-01-20 00:00:00,432.1335754394531,13.76389510006813,2023-01-26 00:00:00,425.1448364257813,-1.6172635987760735,6,,
VTR,2023-08-14 00:00:00,39.97803497314453,11.2037673181315,2023-09-22 00:00:00,39.75386428833008,-0.5607346258140027,39,,
SWK,2023-10-04 00:00:00,73.5097427368164,10.225318278351054,2023-10-18 00:00:00,74.31385040283203,1.0938790370883695,14,,
TPL,2023-11-09 00:00:00,539.2935791015625,11.849801344731462,2023-11-16 00:00:00,524.3776245117188,-2.7658320380326096,7,,
SWKS,2023-04-26 00:00:00,95.97083282470705,10.054900687702279,2023-05-09 00:00:00,93.18880462646484,-2.898826775134525,13,,
AIG,2023-03-16 00:00:00,47.78746032714844,14.459796908664687,2023-03-17 00:00:00,44.97867584228516,-5.877660092489957,1,,
TSN,2023-05-11 00:00:00,45.59812545776367,16.23422668263164,2023-05-30 00:00:00,48.40757369995117,6.161323988613999,19,,
IVZ,2023-03-24 00:00:00,13.425240516662598,11.430575679454284,2023-04-05 00:00:00,14.013988494873049,4.385381233801604,12,,
PANW,2023-01-05 00:00:00,67.55500030517578,11.220640267733259,2023-01-23 00:00:00,74.66999816894531,10.532155771782907,18,,
PANW,2023-08-18 00:00:00,104.84500122070312,14.659939510280989,2023-08-21 00:00:00,120.40499877929688,14.84095319512592,3,,
MHK,2023-09-22 00:00:00,86.83999633789062,10.202539603929157,2023-10-03 00:00:00,81.51000213623047,-6.137718132692432,11,,
CBRE,2023-03-24 00:00:00,68.86000061035156,17.224509788961107,2023-04-12 00:00:00,69.83999633789062,1.4231712443402769,19,,
CBRE,2023-09-27 00:00:00,73.48999786376953,11.0373836108661,2023-10-18 00:00:00,69.80000305175781,-5.021084391445984,21,,
MTCH,2023-03-14 00:00:00,36.09322738647461,16.780461173273025,2023-03-30 00:00:00,36.94791030883789,2.3679869722139637,16,,
MTCH,2023-10-02 00:00:00,37.439109802246094,13.204007362734124,2023-10-13 00:00:00,34.91434860229492,-6.743646452298134,11,,
MKC,2023-01-27 00:00:00,70.4037857055664,11.315101462636195,2023-03-07 00:00:00,68.21903228759766,-3.1031760523582395,39,,
MKC,2023-10-13 00:00:00,58.56212615966797,14.450264899322665,2023-11-01 00:00:00,61.55793380737305,5.115606013922879,19,,
CRL,2023-10-31 00:00:00,168.36000061035156,10.016833033290236,2023-11-09 00:00:00,169.47000122070312,0.6593018569300922,9,,
AZO,2023-05-31 00:00:00,2386.840087890625,11.044781368172508,2023-06-15 00:00:00,2497.3701171875,4.630809992577096,15,,
