year,num_trades,wins,losses,gross_return_pct,avg_trade_return_pct
2016,3,2,1,-1.9155869121997848,-0.6385289707332615
2018,1,1,0,12.058647937918998,12.058647937918998
2020,1,1,0,2.9699006274226614,2.9699006274226614
2021,4,2,2,-4.786792706893383,-1.1966981767233458
2023,2,1,1,0.5179538584446086,0.2589769292223043
2024,1,1,0,5.519885304965522,5.519885304965522
