date,equity
2015-08-04,100000.0
2015-08-05,100000.0
2015-08-06,100000.0
2015-08-07,100000.0
2015-08-10,100000.0
2015-08-11,100000.0
2015-08-12,100000.0
2015-08-13,100000.0
2015-08-14,100000.0
2015-08-17,100000.0
2015-08-18,100000.0
2015-08-19,100000.0
2015-08-20,100000.0
2015-08-21,100000.0
2015-08-24,100000.0
2015-08-25,100000.0
2015-08-26,100000.0
2015-08-27,100000.0
2015-08-28,100000.0
2015-08-31,100000.0
2015-09-01,100000.0
2015-09-02,100000.0
2015-09-03,100000.0
2015-09-04,100000.0
2015-09-08,100000.0
2015-09-09,100000.0
2015-09-10,100000.0
2015-09-11,100000.0
2015-09-14,100000.0
2015-09-15,100000.0
2015-09-16,100000.0
2015-09-17,100000.0
2015-09-18,100000.0
2015-09-21,100000.0
2015-09-22,100000.0
2015-09-23,100000.0
2015-09-24,100000.0
2015-09-25,100000.0
2015-09-28,100000.0
2015-09-29,100000.0
2015-09-30,100000.0
2015-10-01,100000.0
2015-10-02,100000.0
2015-10-05,100000.0
2015-10-06,100000.0
2015-10-07,100000.0
2015-10-08,100000.0
2015-10-09,100000.0
2015-10-12,100000.0
2015-10-13,100000.0
2015-10-14,100000.0
2015-10-15,100000.0
2015-10-16,100000.0
2015-10-19,100000.0
2015-10-20,100000.0
2015-10-21,100000.0
2015-10-22,100000.0
2015-10-23,100000.0
2015-10-26,100000.0
2015-10-27,100000.0
2015-10-28,100000.0
2015-10-29,100000.0
2015-10-30,100000.0
2015-11-02,100000.0
2015-11-03,100000.0
2015-11-04,100000.0
2015-11-05,100000.0
2015-11-06,100000.0
2015-11-09,100000.0
2015-11-10,100000.0
2015-11-11,100000.0
2015-11-12,100000.0
2015-11-13,100000.0
2015-11-16,100000.0
2015-11-17,100000.0
2015-11-18,100000.0
2015-11-19,100000.0
2015-11-20,100000.0
2015-11-23,100000.0
2015-11-24,100000.0
2015-11-25,100000.0
2015-11-27,100000.0
2015-11-30,100000.0
2015-12-01,100000.0
2015-12-02,100000.0
2015-12-03,100000.0
2015-12-04,100000.0
2015-12-07,100000.0
2015-12-08,100000.0
2015-12-09,100000.0
2015-12-10,100000.0
2015-12-11,100000.0
2015-12-14,100000.0
2015-12-15,100000.0
2015-12-16,100000.0
2015-12-17,100000.0
2015-12-18,100000.0
2015-12-21,100000.0
2015-12-22,100000.0
2015-12-23,100000.0
2015-12-24,100000.0
2015-12-28,100000.0
2015-12-29,100000.0
2015-12-30,100000.0
2015-12-31,100000.0
2016-01-04,100000.0
2016-01-05,100000.0
2016-01-06,100000.0
2016-01-07,100000.0
2016-01-08,100000.0
2016-01-11,100000.0
2016-01-12,100000.0
2016-01-13,100000.0
2016-01-14,100000.0
2016-01-15,100000.0
2016-01-19,100000.0
2016-01-20,100000.0
2016-01-21,100000.0
2016-01-22,100000.0
2016-01-25,100000.0
2016-01-26,100000.0
2016-01-27,100000.0
2016-01-28,100000.0
2016-01-29,100000.0
2016-02-01,100034.15079712868
2016-02-02,95800.66149532795
2016-02-03,95800.66149532795
2016-02-04,95800.66149532795
2016-02-05,95800.66149532795
2016-02-08,95800.66149532795
2016-02-09,95800.66149532795
2016-02-10,95800.66149532795
2016-02-11,95800.66149532795
2016-02-12,95800.66149532795
2016-02-16,95800.66149532795
2016-02-17,95800.66149532795
2016-02-18,95800.66149532795
2016-02-19,95800.66149532795
2016-02-22,95800.66149532795
2016-02-23,95800.66149532795
2016-02-24,95800.66149532795
2016-02-25,95800.66149532795
2016-02-26,95800.66149532795
2016-02-29,95800.66149532795
2016-03-01,95800.66149532795
2016-03-02,95800.66149532795
2016-03-03,95800.66149532795
2016-03-04,95800.66149532795
2016-03-07,95800.66149532795
2016-03-08,95800.66149532795
2016-03-09,95800.66149532795
2016-03-10,95800.66149532795
2016-03-11,95800.66149532795
2016-03-14,95800.66149532795
2016-03-15,95800.66149532795
2016-03-16,95800.66149532795
2016-03-17,94990.28132557869
2016-03-18,97855.609177351
2016-03-21,97855.609177351
2016-03-22,97855.609177351
2016-03-23,97855.609177351
2016-03-24,97855.609177351
2016-03-28,97855.609177351
2016-03-29,97855.609177351
2016-03-30,97855.609177351
2016-03-31,97855.609177351
2016-04-01,97855.609177351
2016-04-04,97855.609177351
2016-04-05,97855.609177351
2016-04-06,97855.609177351
2016-04-07,97855.609177351
2016-04-08,97855.609177351
2016-04-11,97855.609177351
2016-04-12,97855.609177351
2016-04-13,97855.609177351
2016-04-14,97855.609177351
2016-04-15,97855.609177351
2016-04-18,97855.609177351
2016-04-19,97855.609177351
2016-04-20,97855.609177351
2016-04-21,97855.609177351
2016-04-22,97855.609177351
2016-04-25,97855.609177351
2016-04-26,97855.609177351
2016-04-27,97855.609177351
2016-04-28,97855.609177351
2016-04-29,97855.609177351
2016-05-02,97855.609177351
2016-05-03,97855.609177351
2016-05-04,97855.609177351
2016-05-05,97855.609177351
2016-05-06,97855.609177351
2016-05-09,97855.609177351
2016-05-10,97855.609177351
2016-05-11,97855.609177351
2016-05-12,97855.609177351
2016-05-13,97855.609177351
2016-05-16,97855.609177351
2016-05-17,97855.609177351
2016-05-18,97855.609177351
2016-05-19,97855.609177351
2016-05-20,97855.609177351
2016-05-23,97855.609177351
2016-05-24,97855.609177351
2016-05-25,97855.609177351
2016-05-26,97855.609177351
2016-05-27,97855.609177351
2016-05-31,97855.609177351
2016-06-01,97855.609177351
2016-06-02,97855.609177351
2016-06-03,97855.609177351
2016-06-06,97855.609177351
2016-06-07,97855.609177351
2016-06-08,97855.609177351
2016-06-09,97855.609177351
2016-06-10,97855.609177351
2016-06-13,97855.609177351
2016-06-14,97855.609177351
2016-06-15,97855.609177351
2016-06-16,97855.609177351
2016-06-17,97855.609177351
2016-06-20,97855.609177351
2016-06-21,97855.609177351
2016-06-22,97855.609177351
2016-06-23,97855.609177351
2016-06-24,97855.609177351
2016-06-27,97855.609177351
2016-06-28,97855.609177351
2016-06-29,97855.609177351
2016-06-30,97855.609177351
2016-07-01,97855.609177351
2016-07-05,97855.609177351
2016-07-06,97855.609177351
2016-07-07,97855.609177351
2016-07-08,97855.609177351
2016-07-11,97855.609177351
2016-07-12,97855.609177351
2016-07-13,97855.609177351
2016-07-14,97855.609177351
2016-07-15,97855.609177351
2016-07-18,97855.609177351
2016-07-19,97855.609177351
2016-07-20,97855.609177351
2016-07-21,97855.609177351
2016-07-22,97855.609177351
2016-07-25,97855.609177351
2016-07-26,97855.609177351
2016-07-27,97855.609177351
2016-07-28,97855.609177351
2016-07-29,97855.609177351
2016-08-01,97855.609177351
2016-08-02,97855.609177351
2016-08-03,97855.609177351
2016-08-04,97855.609177351
2016-08-05,97855.609177351
2016-08-08,97855.609177351
2016-08-09,97855.609177351
2016-08-10,97855.609177351
2016-08-11,97855.609177351
2016-08-12,97855.609177351
2016-08-15,97855.609177351
2016-08-16,97855.609177351
2016-08-17,97855.609177351
2016-08-18,97855.609177351
2016-08-19,97855.609177351
2016-08-22,97855.609177351
2016-08-23,97855.609177351
2016-08-24,97855.609177351
2016-08-25,97855.609177351
2016-08-26,97855.609177351
2016-08-29,97855.609177351
2016-08-30,97855.609177351
2016-08-31,97855.609177351
2016-09-01,97855.609177351
2016-09-02,97855.609177351
2016-09-06,97855.609177351
2016-09-07,97855.609177351
2016-09-08,97855.609177351
2016-09-09,97855.609177351
2016-09-12,97855.609177351
2016-09-13,97855.609177351
2016-09-14,97855.609177351
2016-09-15,97855.609177351
2016-09-16,97855.609177351
2016-09-19,97855.609177351
2016-09-20,97855.609177351
2016-09-21,97855.609177351
2016-09-22,98097.00104784966
2016-09-23,97991.37016510965
2016-09-26,97991.37016510965
2016-09-27,97991.37016510965
2016-09-28,97991.37016510965
2016-09-29,97991.37016510965
2016-09-30,97991.37016510965
2016-10-03,97991.37016510965
2016-10-04,97991.37016510965
2016-10-05,97991.37016510965
2016-10-06,97991.37016510965
2016-10-07,97991.37016510965
2016-10-10,97991.37016510965
2016-10-11,97991.37016510965
2016-10-12,97991.37016510965
2016-10-13,97991.37016510965
2016-10-14,97991.37016510965
2016-10-17,97991.37016510965
2016-10-18,97991.37016510965
2016-10-19,97991.37016510965
2016-10-20,97991.37016510965
2016-10-21,97991.37016510965
2016-10-24,97991.37016510965
2016-10-25,97991.37016510965
2016-10-26,97991.37016510965
2016-10-27,97991.37016510965
2016-10-28,97991.37016510965
2016-10-31,97991.37016510965
2016-11-01,97991.37016510965
2016-11-02,97991.37016510965
2016-11-03,97991.37016510965
2016-11-04,97991.37016510965
2016-11-07,97991.37016510965
2016-11-08,97991.37016510965
2016-11-09,97991.37016510965
2016-11-10,97991.37016510965
2016-11-11,97991.37016510965
2016-11-14,97991.37016510965
2016-11-15,97991.37016510965
2016-11-16,97991.37016510965
2016-11-17,97991.37016510965
2016-11-18,97991.37016510965
2016-11-21,97991.37016510965
2016-11-22,97991.37016510965
2016-11-23,97991.37016510965
2016-11-25,97991.37016510965
2016-11-28,97991.37016510965
2016-11-29,97991.37016510965
2016-11-30,97991.37016510965
2016-12-01,97991.37016510965
2016-12-02,97991.37016510965
2016-12-05,97991.37016510965
2016-12-06,97991.37016510965
2016-12-07,97991.37016510965
2016-12-08,97991.37016510965
2016-12-09,97991.37016510965
2016-12-12,97991.37016510965
2016-12-13,97991.37016510965
2016-12-14,97991.37016510965
