Ticker,Buy Date,Buy Price,Pct Below 100MA at Buy (%),Sell Date,Sell Price,Pct Gain (%),Holding Days,Total Trades,Average Gain (%)
PAYC,2019-09-12 00:00:00,209.10861206054688,14.5053074700911,2019-09-24 00:00:00,205.58590698242188,-1.6846293624219597,12,,
ADI,2019-05-21 00:00:00,88.98234558105469,12.625369352480694,2019-05-28 00:00:00,86.51456451416016,-2.77333784671546,7,,
INTC,2019-05-09 00:00:00,40.62374877929688,16.299321407212293,2019-05-13 00:00:00,39.00299072265625,-3.989681172572189,4,,
INTC,2019-05-23 00:00:00,38.80257415771485,12.752393116502784,2019-06-10 00:00:00,40.78060531616211,5.097680247726504,18,,
DD,2019-05-16 00:00:00,57.99143600463867,14.080139249286363,2019-05-23 00:00:00,58.25503921508789,0.4545554112992363,7,,
ALB,2019-08-28 00:00:00,54.84185791015625,12.356730361319238,2019-09-12 00:00:00,64.39214324951172,17.414226474604604,15,,
ULTA,2019-09-05 00:00:00,236.7100067138672,27.47577846338105,2019-09-09 00:00:00,226.16000366210935,-4.4569315840164645,4,,
RL,2019-05-29 00:00:00,93.56876373291016,14.113110806760737,2019-06-18 00:00:00,100.09272003173828,6.972365604242251,20,,
LRCX,2019-05-29 00:00:00,16.35515785217285,12.014202070362195,2019-06-03 00:00:00,15.879051208496094,-2.9110489056729283,5,,
NVDA,2019-05-14 00:00:00,4.021887302398682,15.268709134951925,2019-05-17 00:00:00,3.8851263523101807,-3.4004172619888124,3,,
LOW,2019-05-29 00:00:00,83.10383605957031,16.31568217801448,2019-06-17 00:00:00,89.20979309082031,7.347382889609501,19,,
PRU,2019-08-13 00:00:00,61.90314102172852,14.162408669014347,2019-08-14 00:00:00,59.547889709472656,-3.804736356478508,1,,
IT,2019-08-06 00:00:00,128.44000244140625,21.648303052748723,2019-08-14 00:00:00,127.0,-1.1211479399209545,8,,
BEN,2019-08-13 00:00:00,21.42037773132324,15.057589053692572,2019-08-14 00:00:00,20.256635665893555,-5.432873687040224,1,,
CTSH,2019-05-08 00:00:00,53.80635452270508,18.360049454562184,2019-05-13 00:00:00,51.89056015014648,-3.5605355344231295,5,,
TSLA,2019-05-23 00:00:00,13.03266716003418,15.568561043081203,2019-05-28 00:00:00,12.579999923706056,-3.473327683194942,5,,
DVN,2019-05-29 00:00:00,19.55340385437012,16.66007528091645,2019-05-30 00:00:00,18.774179458618164,-3.985108687753118,1,,
VTR,2019-11-06 00:00:00,47.82447052001953,14.68442801775271,2019-11-15 00:00:00,46.2305793762207,-3.332794124990089,9,,
GE,2019-04-15 00:00:00,43.50580978393555,13.924158729685002,2019-04-26 00:00:00,46.36420822143555,6.570153392606105,11,,
PTC,2019-07-31 00:00:00,67.77999877929688,21.54657767632107,2019-08-05 00:00:00,64.83000183105469,-4.352311893436109,5,,
IVZ,2019-08-13 00:00:00,12.122685432434082,14.293169349087604,2019-08-14 00:00:00,11.71732234954834,-3.3438389962771673,1,,
ELV,2019-04-18 00:00:00,221.2985382080078,18.801304946988267,2019-05-07 00:00:00,244.63638305664065,10.545864892562742,19,,
BKR,2019-05-09 00:00:00,18.816242218017575,14.250323870572936,2019-05-13 00:00:00,18.09222412109375,-3.8478357609073393,4,,
MTCH,2019-09-25 00:00:00,70.18236541748047,14.430898625863156,2019-10-03 00:00:00,73.6796875,4.983192090656503,8,,
SLB,2019-08-16 00:00:00,28.024324417114254,13.02401834571462,2019-08-23 00:00:00,27.43334197998047,-2.108819568092342,7,,
FDX,2019-05-23 00:00:00,143.6373748779297,13.1300481848308,2019-05-31 00:00:00,137.9934539794922,-3.929284354600597,8,,
FDX,2019-06-03 00:00:00,136.25823974609375,13.95974782901252,2019-06-20 00:00:00,150.7123260498047,10.607862196550434,17,,
XYZ,2019-08-13 00:00:00,63.0,18.618174918433503,2019-08-23 00:00:00,61.77999877929688,-1.9365098741319333,10,,
TTD,2019-09-25 00:00:00,19.45800018310547,16.798525986148647,2019-09-27 00:00:00,18.47599983215332,-5.046769152591418,2,,
CNP,2019-11-19 00:00:00,21.542055130004883,12.018153729078326,2019-12-11 00:00:00,21.59192657470703,0.23150736733880567,22,,
RMD,2019-02-05 00:00:00,89.65977478027344,13.660263197988169,2019-02-14 00:00:00,94.0580825805664,4.905553032083531,9,,
MMM,2019-05-03 00:00:00,122.04615783691406,12.663558865749518,2019-05-07 00:00:00,118.02674865722656,-3.2933516719620894,4,,
MMM,2019-05-10 00:00:00,115.87863159179688,14.01513220639002,2019-05-17 00:00:00,111.41770935058594,-3.849650431604449,7,,
BA,2019-03-15 00:00:00,370.1134643554688,12.099621749048843,2019-03-20 00:00:00,367.3497314453125,-0.7467258493200694,5,,
CVS,2019-03-08 00:00:00,42.85489654541016,12.219935432216758,2019-03-25 00:00:00,44.49038696289063,3.81634433709917,17,,
DLTR,2019-08-07 00:00:00,92.37999725341795,14.314281039550794,2019-08-09 00:00:00,90.08999633789062,-2.4788925997100546,2,,
DLTR,2019-08-12 00:00:00,91.0,13.875601916964204,2019-08-29 00:00:00,97.66999816894533,7.329668317522336,17,,
TKO,2019-11-05 00:00:00,51.75469207763672,17.29522174900205,2019-11-22 00:00:00,55.91213607788086,8.032979877471975,17,,
AOS,2019-05-21 00:00:00,39.74541091918945,15.928575929528336,2019-05-28 00:00:00,38.36412048339844,-3.4753457162625936,7,,
WMB,2019-08-07 00:00:00,16.744115829467773,12.108777839098787,2019-08-14 00:00:00,16.38258171081543,-2.1591711520299213,7,,
