Ticker,Buy Date,Buy Price,Pct Below 100MA at Buy (%),Sell Date,Sell Price,Pct Gain (%),Holding Days
TSLA,2023-01-04,113.63999938964844,14.86681872080649,2023-01-19,127.16999816894533,11.906017997153691,15
NOC,2023-01-20,432.1335754394531,13.76389510006813,2023-01-26,425.1448364257813,-1.6172635987760735,6
NWS,2023-02-22,17.469430923461914,12.798543860110009,2023-02-28,16.892009735107422,-3.3053234011131987,6
FIS,2023-03-01,58.89126205444336,12.01318324429302,2023-03-09,56.462528228759766,-4.124098789797196,8
NWSA,2023-03-10,15.653868675231934,15.276679605718153,2023-03-30,16.699560165405273,6.680083446898129,20
MKTX,2023-04-25,306.923828125,14.267124242633253,2023-05-03,290.2051696777344,-5.447168618155207,8
NTRS,2023-05-04,66.24827575683594,12.348323928922355,2023-05-11,65.2490005493164,-1.508379193425905,7
LULU,2023-05-30,336.6400146484375,13.515885088701024,2023-06-02,365.4400024414063,8.555129081444887,3
DG,2023-06-12,146.77198791503906,22.2527422396068,2023-06-27,161.45968627929688,10.007153662563994,15
EFX,2023-07-27,200.1973571777344,13.35695022132988,2023-08-03,194.5228271484375,-2.834468001622558,7
ALB,2023-08-04,193.68289184570312,13.19861676575956,2023-08-10,185.53253173828125,-4.208095010226734,6
ALB,2023-08-14,179.59878540039062,16.400266265933013,2023-08-31,192.3470916748047,7.098214080898976,17
RMD,2023-09-05,151.31089782714844,12.275666409990258,2023-09-08,145.47042846679688,-3.859913227812238,3
WBA,2023-09-12,19.613445281982425,15.006630162598409,2023-09-21,19.3696346282959,-1.2430791744197014,9
BXP,2023-09-27,52.35146331787109,13.319461299664844,2023-10-02,51.96260070800781,-0.7427922453707786,5
BXP,2023-10-04,49.67465972900391,14.970536260309682,2023-10-06,48.137298583984375,-3.0948599414801987,2
HAS,2023-10-13,51.49415588378906,15.6369567993317,2023-10-19,52.07356643676758,1.1251967199658877,6
GNRC,2023-10-27,82.19999694824219,13.73965969997466,2023-11-09,102.83999633789062,25.109489240789827,13
APTV,2023-11-10,75.93000030517578,12.30073836142354,2023-11-27,81.80999755859375,7.7439710651721905,17
