Ticker,Buy Date,Buy Price,Pct Below 100MA at Buy (%),Sell Date,Sell Price,Pct Gain (%),Holding Days
TTD,2021-01-07,76.3030014038086,20.804866205641932,2021-01-08,79.58100128173828,4.296030061231732,1
PAYC,2021-01-19,390.9704284667969,12.860471899937927,2021-01-20,402.2272644042969,2.8792039289631304,1
STLD,2021-01-28,32.682151794433594,12.504906730647633,2021-02-01,32.45905685424805,-0.6826201089474907,4
ALB,2021-02-05,149.38742065429688,13.898506450345502,2021-02-08,153.56004333496094,2.7931553154800683,3
TKO,2021-02-11,44.2595100402832,14.159848855654552,2021-02-17,44.66393280029297,0.9137533597675992,6
INCY,2021-02-23,79.0199966430664,13.27414357682454,2021-03-03,76.0199966430664,-3.7965073746472178,8
DDOG,2021-03-04,85.0,20.0471817657387,2021-03-05,82.19999694824219,-3.2941212373621327,1
DDOG,2021-03-09,82.0,20.7968744388685,2021-03-12,83.0,1.2195121951219512,3
LLY,2021-03-19,176.26185607910156,14.391495886506082,2021-03-22,177.74432373046875,0.8410598210777356,3
PARA,2021-04-06,39.79926300048828,45.835748559349796,2021-04-08,37.95063400268555,-4.644882488854265,2
INTC,2021-05-04,51.75127410888672,12.308854445965318,2021-05-11,50.36790466308594,-2.6731118597971473,7
ABNB,2021-05-19,138.19000244140625,13.725440733229252,2021-05-25,133.99000549316406,-3.0392914639559563,6
TPL,2021-05-27,462.1173400878906,15.136001119126089,2021-05-28,458.1509704589844,-0.8583035702905849,1
TPL,2021-06-01,472.6289367675781,12.091144058794367,2021-06-02,469.9742736816406,-0.5616801849022138,1
CAT,2021-06-18,192.342041015625,12.744527484283271,2021-07-08,195.33502197265625,1.556072162501444,20
CCL,2021-07-15,21.950000762939453,19.740680553910124,2021-07-16,20.920000076293945,-4.6924858808413745,1
WYNN,2021-07-19,102.25090789794922,12.54532252214419,2021-07-23,101.10870361328124,-1.1170602864553063,4
LW,2021-07-29,62.671607971191406,14.112474655903323,2021-08-05,60.02633666992188,-4.220844792247058,7
FICO,2021-08-13,451.6499938964844,12.30941356661625,2021-08-20,442.3800048828125,-2.0524718562924424,7
LLY,2021-09-17,221.76251220703125,13.84755805009659,2021-09-28,213.57052612304688,-3.6940355709609602,11
WAT,2021-10-01,355.70001220703125,14.734893065690088,2021-10-06,343.6400146484375,-3.390496807622925,5
A,2021-10-12,144.1161651611328,14.072405374240986,2021-10-19,151.5874481201172,5.184208829475106,7
CZR,2021-11-19,95.4000015258789,15.641694540704224,2021-11-26,91.1999969482422,-4.402520451215485,7
PAYC,2021-12-02,432.0521545410156,12.424968055006678,2021-12-03,411.1422424316406,-4.839673148161556,1
DXCM,2021-12-06,131.1074981689453,15.723544941864672,2021-12-07,139.60000610351562,6.477515056863379,1
GNRC,2021-12-08,367.9800109863281,16.47352322594365,2021-12-10,348.239990234375,-5.364427458720453,2
FSLR,2021-12-13,97.06999969482422,12.05428410864593,2021-12-16,91.1999969482422,-6.047185294155312,3
WSM,2021-12-17,78.46471405029297,14.786068610782403,2021-12-20,75.27405548095703,-4.06636104898164,3
LULU,2021-12-21,383.30999755859375,14.445447277785103,2021-12-31,391.4500122070313,2.123611359026255,10
